job_title, job_skills
air force officer,apply air force procedures
air force officer,apply military aviation regulations
air force officer,delegate activities
air force officer,devise military tactics
air force officer,ensure compliance with types of weapons
air force officer,ensure public safety and security
air force officer,give instructions to staff
air force officer,handle surveillance equipment
air force officer,identify security threats
air force officer,lead military troops
armed forces officer,arrange equipment repairs
armed forces officer,defend human rights
armed forces officer,delegate activities
armed forces officer,devise military tactics
armed forces officer,ensure compliance with types of weapons
armed forces officer,ensure public safety and security
armed forces officer,handle surveillance equipment
armed forces officer,identify security threats
armed forces officer,lead military troops
armed forces officer,maintain operational communications
army captain,advise superiors on military operations
army captain,analyse logistic needs
army captain,assist in military logistics
army captain,defend human rights
army captain,devise military tactics
army captain,manage troop deployment
army captain,monitor military equipment use
army captain,military code
army captain,military combat techniques
army captain,military drill
army general,analyse potential threats against national security
army general,defend human rights
army general,delegate activities
army general,develop defence policies
army general,ensure public safety and security
army general,maintain operational communications
army general,manage administrative systems
army general,manage budgets
army general,manage military logistics
army general,manage staff
army major,advise superiors on military operations
army major,delegate activities
army major,give battle commands
army major,maintain operational communications
army major,manage troop deployment
army major,monitor military equipment use
army major,train military troops
army major,military code
army major,military combat techniques
army major,military drill
artillery officer,devise military tactics
artillery officer,ensure compliance with types of weapons
artillery officer,ensure public safety and security
artillery officer,handle surveillance equipment
artillery officer,identify security threats
artillery officer,lead military troops
artillery officer,operate armoured fighting vehicles
artillery officer,operate radio equipment
artillery officer,perform military operations
artillery officer,use different communication channels
brigadier,analyse potential threats against national security
brigadier,defend human rights
brigadier,delegate activities
brigadier,devise military tactics
brigadier,ensure compliance with policies
brigadier,ensure public safety and security
brigadier,maintain operational communications
brigadier,manage administrative systems
brigadier,manage military logistics
brigadier,manage staff
colonel,advise superiors on military operations
colonel,defend human rights
colonel,devise military tactics
colonel,ensure compliance with policies
colonel,ensure information security
colonel,maintain operational communications
colonel,use geographic information systems
colonel,geographic information systems
colonel,military code
colonel,military weaponry
fleet commander,analyse ship operations
fleet commander,apply navy operation procedures
fleet commander,defend human rights
fleet commander,delegate activities
fleet commander,devise military tactics
